Block,Delta_R2,Cumulative_R2,Predictors_Added
seniority_level,0.13145903585584018,0.39132377000599927,6
company_size,0.021585985450471523,0.4129097554564708,5
industry,0.01289614191132249,0.4258058973677933,10
english_use,0.011844616650355966,0.43765051401814925,1
experience_total + tenure,0.0018276062757829337,0.4394781202939322,2
primary_role,0.0191054736667845,0.4585835939607167,15
primary_language,0.01215128476018279,0.4707348787208995,14
work_arrangement (expanded),9.773551098002375e-05,0.4708326142318795,3
cert_depth (has + count),0.006622673574947946,0.47745528780682744,2
tech_depth (lang_yrs + breadth),0.0006559505124026366,0.4781112383192301,2
gender_mechanisms (Layer A),0.03860605861587296,0.516717296935103,9
