,VIF
city_CDMX,8.44505522502774
city_Guadalajara,5.403320830235255
city_Monterrey,5.340073301866481
city_Otra,4.8690709597214505
city_Querétaro,3.6109146013222704
city_Mérida,2.6556101870626305
city_Hermosillo,2.5851787535481896
city_Puebla,2.182575321335304
city_León,1.986079192811453
city_SLP,1.6943012154897614
lang_js,1.260739019233936
lang_python,1.236072472965168
lang_java,1.1789852590988799
profile_emprendedor,1.1534496652092692
act_backend,1.1519115012485106
cert_0,1.1477005685070503
profile_godin,1.1335271109670335
act_fullstack,1.1292515097278788
act_frontend,1.1126456363129098
cert_4,1.1084589338045086
lang_csharp,1.1074225861968676
lang_go,1.1030761048018771
cert_19,1.10223438555875
cert_23,1.1014010827128697
cert_11,1.1013429465999467
cert_7,1.1010607059011812
experience,1.1007669001603628
cert_3,1.1004390043452683
seniority,1.099625654837693
cert_10,1.0986943143192562
cert_8,1.0984247699654013
cert_20,1.0977273713105526
cert_9,1.0970938139025916
cert_6,1.0961140313419906
cert_24,1.0942592283345334
cert_16,1.0930640909295486
cert_15,1.0924390219185878
cert_17,1.0922863033556605
act_devops,1.0915303224967108
cert_13,1.0898142772523665
cert_26,1.089049635138602
lang_c,1.0871951965128526
cert_18,1.0864591461217257
lang_php,1.0855029005798267
cert_22,1.0852192822093898
cert_14,1.0829691749715582
act_datasci,1.0781399248395254
cert_12,1.0747074776658694
lang_ruby,1.074174184303701
act_arq,1.0717949268815206
cert_2,1.0714829785560613
cert_5,1.0706579038597492
cert_25,1.0696881770608822
lang_kotlin,1.0679155528750621
act_pm,1.067674818641279
cert_1,1.0663106417166175
lang_groovy,1.0655311226995041
cert_21,1.0655237839951912
lang_dart,1.0647224442514023
act_qa,1.0638231168468735
act_mobile,1.0628324268864635
act_techwrite,1.0621292563728975
lang_scala,1.05988142886334
act_bi,1.0583201543578875
lang_bash,1.057834397457678
act_techsales,1.057656401135675
act_dataeng,1.0554633200871875
act_dba,1.0531157909464925
act_dir,1.051633024399577
act_uxd,1.0510400077957143
lang_cobol,1.0490160857398128
act_erp,1.0489514807920324
act_support,1.0465186816453698
lang_swift,1.0455026665930682
act_training,1.0446479909272959
lang_plsql,1.0440137610941624
act_iot,1.0437671480328095
lang_elixir,1.042876174086142
act_aiml,1.0426429078343333
lang_rust,1.042592068786623
act_infosec,1.0420995075246504
act_docencia,1.042066921871995
remote,1.0417334820812796
act_devrel,1.0414230222051
is_female,1.0411266731241318
english,1.0403483813343484
act_consulting,1.0402403738326849
lang_vbnet,1.0382061544924512
lang_perl,1.0363003997182494
act_other,1.0360225633597344
