Variable,Coeficiente,t_stat,p_value,Significancia
Act Doc,"$-18,902.26",-8.58,0.000000,***
Act Dir,"$+16,553.33",+11.25,0.000000,***
Lang Groovy,"$+13,853.98",+3.77,0.000162,***
Is Remote,"$+12,212.77",+13.92,0.000000,***
Lang Elixir,"$+11,837.98",+3.06,0.002213,**
Act Soporte,"$-11,502.85",-8.30,0.000000,***
City Hermosillo,"$+11,434.74",+5.01,0.000001,***
Act Arq,"$+8,802.00",+9.56,0.000000,***
Year 2022,"$+8,762.78",+8.94,0.000000,***
Act Dba,"$-7,480.79",-6.70,0.000000,***
English Num,"$+7,305.09",+18.93,0.000000,***
Act Uxd,"$-6,622.75",-3.42,0.000635,***
Lang Ruby,"$+6,523.17",+3.22,0.001307,**
Act Erp,"$-6,326.28",-3.34,0.000849,***
City Leon,"$-6,301.51",-2.24,0.025316,*
Lang Go,"$+6,221.43",+2.32,0.020293,*
Act Techsales,"$+6,090.89",+2.40,0.016591,*
Act Techwrite,"$-5,370.56",-3.69,0.000229,***
Lang Csharp,"$-5,238.42",-4.05,0.000052,***
City Valle De México,"$+5,139.32",+3.59,0.000337,***
