Block,Delta_R2,Cumulative_R2,Predictors_Added
seniority_level,0.12441982842992227,0.39200022348247665,6
company_size,0.02350267104039727,0.4155028945228739,5
industry,0.01533359277721591,0.43083648730008983,10
english_use,0.01766497265139122,0.44850145995148105,1
experience_total + tenure,0.0031321944988492723,0.4516336544503303,2
primary_role,0.016890303247982796,0.4685239576983131,15
primary_language,0.01063989563267731,0.47916385333099043,14
work_arrangement (expanded),7.745003628456537e-05,0.479241303367275,3
cert_depth (has + count),0.008714790811093165,0.48795609417836816,2
tech_depth (lang_yrs + breadth),0.0015143510152875184,0.4894704451936557,2
